,Pair_1,Pair_2,Profit,LossCount
0,ANCBUSD,LUNA2BUSD,154.47671761233124,3
1,GMTBUSD,LEVERBUSD,126.76588103224438,0
10,DOGEBUSD,LTCBUSD,106.84357520108587,0
2,UNIBUSD,AUCTIONBUSD,99.132535364713,0
3,DODOBUSD,TLMBUSD,89.26038996204062,0
4,TRXBUSD,ICPBUSD,85.04100403526324,0
6,1000SHIBBUSD,ETCBUSD,80.30516080211619,0
5,WAVESBUSD,CVXBUSD,73.02116176946363,0
8,BTCBUSD,DGBUSDT,58.923029067001444,0
7,1000SHIBUSDT,MATICBUSD,57.73507529752442,0
